origin_year,draw_id,horizon,indicator,value
1985,77,1,trust_media_pct,25.614304395337232
1985,77,1,union_membership_rate,10.342623796589155
1985,77,1,vep_turnout_pct,31.447703351377953
1985,78,1,trust_media_pct,25.62477909877513
1985,78,1,union_membership_rate,10.345349244780763
1985,78,1,vep_turnout_pct,31.49665424286839
1985,79,1,trust_media_pct,25.637230430015272
1985,79,1,union_membership_rate,10.345842806200205
1985,79,1,vep_turnout_pct,31.55996575580383
1985,80,1,trust_media_pct,25.64157886912514
1985,80,1,union_membership_rate,10.347221465185298
1985,80,1,vep_turnout_pct,31.703966119196203
1985,81,1,trust_media_pct,25.676428874424552
1985,81,1,union_membership_rate,10.347914957781446
1985,81,1,vep_turnout_pct,31.709173339838802
1985,82,1,trust_media_pct,25.756979762731802
1985,82,1,union_membership_rate,10.348981453782612
1985,82,1,vep_turnout_pct,31.886837375097056
1985,83,1,trust_media_pct,25.924751654548587
1985,83,1,union_membership_rate,10.351172474296215
1985,83,1,vep_turnout_pct,31.88725217723303
1985,84,1,trust_media_pct,25.956394702428852
1985,84,1,union_membership_rate,10.353073655503508
1985,84,1,vep_turnout_pct,31.910210862614054
1985,85,1,trust_media_pct,25.96586002430957
1985,85,1,union_membership_rate,10.355050276366505
1985,85,1,vep_turnout_pct,31.91732935642256
1985,86,1,trust_media_pct,25.979335909829835
1985,86,1,union_membership_rate,10.364861926314726
1985,86,1,vep_turnout_pct,32.02875286533461
1985,87,1,trust_media_pct,26.01249526711196
1985,87,1,union_membership_rate,10.369055354589413
1985,87,1,vep_turnout_pct,32.244304282130564
1985,88,1,trust_media_pct,26.043019991967423
1985,88,1,union_membership_rate,10.371306368788664
1985,88,1,vep_turnout_pct,32.381469584688034
1985,89,1,trust_media_pct,26.22104409982663
1985,89,1,union_membership_rate,10.372627627460025
1985,89,1,vep_turnout_pct,32.41386251436128
1985,90,1,trust_media_pct,26.221430955364664
1985,90,1,union_membership_rate,10.376998720035061
1985,90,1,vep_turnout_pct,32.545845876967476
1985,91,1,trust_media_pct,26.22814158995755
1985,91,1,union_membership_rate,10.382743649131074
1985,91,1,vep_turnout_pct,32.592330477522644
1985,92,1,trust_media_pct,26.298246958645866
1985,92,1,union_membership_rate,10.386973817629961
1985,92,1,vep_turnout_pct,32.61325382365219
1985,93,1,trust_media_pct,26.304874730941503
1985,93,1,union_membership_rate,10.388689042299866
1985,93,1,vep_turnout_pct,32.672696833186095
1985,94,1,trust_media_pct,26.311409334400686
1985,94,1,union_membership_rate,10.390076878526871
1985,94,1,vep_turnout_pct,32.82977594853104
1985,95,1,trust_media_pct,26.332351294404077
1985,95,1,union_membership_rate,10.39235978503123
1985,95,1,vep_turnout_pct,32.850229324455306
1985,96,1,trust_media_pct,26.43753832113745
1985,96,1,union_membership_rate,10.396687791095134
1985,96,1,vep_turnout_pct,32.8977824847164
1985,97,1,trust_media_pct,26.454080284130555
1985,97,1,union_membership_rate,10.398888335001496
1985,97,1,vep_turnout_pct,33.58049737824784
1985,98,1,trust_media_pct,26.497027895789273
1985,98,1,union_membership_rate,10.400239150765383
1985,98,1,vep_turnout_pct,33.612162791163115
1985,99,1,trust_media_pct,26.4985106776793
1985,99,1,union_membership_rate,10.402460871704434
1985,99,1,vep_turnout_pct,33.63167294581298
1985,100,1,trust_media_pct,26.515705928584254
1985,100,1,union_membership_rate,10.403562966221582
1985,100,1,vep_turnout_pct,33.70089818747592
1985,101,1,trust_media_pct,26.559720181899852
1985,101,1,union_membership_rate,10.40938742755082
1985,101,1,vep_turnout_pct,33.908656314610184
1985,102,1,trust_media_pct,26.5649947442337
1985,102,1,union_membership_rate,10.409825862370909
1985,102,1,vep_turnout_pct,34.15982441036165
1985,103,1,trust_media_pct,26.63533130589879
1985,103,1,union_membership_rate,10.410177447740772
1985,103,1,vep_turnout_pct,34.287076956002075
1985,104,1,trust_media_pct,26.660665142091865
1985,104,1,union_membership_rate,10.410789200693618
1985,104,1,vep_turnout_pct,34.42099469908848
1985,105,1,trust_media_pct,26.683920409197782
1985,105,1,union_membership_rate,10.41089329316533
1985,105,1,vep_turnout_pct,34.55534419137186
1985,106,1,trust_media_pct,26.710609713029086
1985,106,1,union_membership_rate,10.416510819503316
1985,106,1,vep_turnout_pct,34.605364397421184
1985,107,1,trust_media_pct,26.711436484568278
1985,107,1,union_membership_rate,10.420943514415082
1985,107,1,vep_turnout_pct,34.655859490836676
1985,108,1,trust_media_pct,26.736314150665546
1985,108,1,union_membership_rate,10.421976344055338
1985,108,1,vep_turnout_pct,34.6716458532979
1985,109,1,trust_media_pct,26.85053912980616
1985,109,1,union_membership_rate,10.429871055467077
1985,109,1,vep_turnout_pct,34.686410898485846
1985,110,1,trust_media_pct,26.859330703821804
1985,110,1,union_membership_rate,10.433340288043706
1985,110,1,vep_turnout_pct,34.70932554317636
1985,111,1,trust_media_pct,26.862405768860125
1985,111,1,union_membership_rate,10.453571835160679
1985,111,1,vep_turnout_pct,34.84520870109622
1985,112,1,trust_media_pct,26.906236679007513
1985,112,1,union_membership_rate,10.46084476452877
1985,112,1,vep_turnout_pct,34.87766412725764
1985,113,1,trust_media_pct,26.921603382987293
1985,113,1,union_membership_rate,10.461181321569015
1985,113,1,vep_turnout_pct,35.025055034546625
1985,114,1,trust_media_pct,27.12473899239922
1985,114,1,union_membership_rate,10.463768306413252
1985,114,1,vep_turnout_pct,35.08679827086131
1985,115,1,trust_media_pct,27.18058446800208
1985,115,1,union_membership_rate,10.463957991857933
1985,115,1,vep_turnout_pct,35.16493968732408
1985,116,1,trust_media_pct,27.28141639578294
1985,116,1,union_membership_rate,10.467131896792996
1985,116,1,vep_turnout_pct,35.16776508787157
1985,117,1,trust_media_pct,27.305282455318935
1985,117,1,union_membership_rate,10.470301652434555
1985,117,1,vep_turnout_pct,35.202201182699724
1985,118,1,trust_media_pct,27.316084064596414
1985,118,1,union_membership_rate,10.47150681786543
1985,118,1,vep_turnout_pct,35.254398614197875
1985,119,1,trust_media_pct,27.35179371663472
1985,119,1,union_membership_rate,10.47484847698653
1985,119,1,vep_turnout_pct,35.32149029562541
1985,120,1,trust_media_pct,27.374879641713115
1985,120,1,union_membership_rate,10.47813324481188
1985,120,1,vep_turnout_pct,35.35526483061238
1985,121,1,trust_media_pct,27.388721101082446
1985,121,1,union_membership_rate,10.482414743981927
1985,121,1,vep_turnout_pct,35.4825276541908
1985,122,1,trust_media_pct,27.524263040552466
1985,122,1,union_membership_rate,10.49764919105766
1985,122,1,vep_turnout_pct,35.560304222402046
1985,123,1,trust_media_pct,27.53049338403227
1985,123,1,union_membership_rate,10.503352884250155
1985,123,1,vep_turnout_pct,35.56034621159989
1985,124,1,trust_media_pct,27.56135743417076
1985,124,1,union_membership_rate,10.51210122427465
1985,124,1,vep_turnout_pct,35.62458503216949
1985,125,1,trust_media_pct,27.598092513445916
1985,125,1,union_membership_rate,10.51341974157941
1985,125,1,vep_turnout_pct,35.794837736863876
1985,126,1,trust_media_pct,27.60134806185584
1985,126,1,union_membership_rate,10.517370163555645
1985,126,1,vep_turnout_pct,36.058365752279244
1985,127,1,trust_media_pct,27.63237290321964
1985,127,1,union_membership_rate,10.519835435098747
1985,127,1,vep_turnout_pct,36.06502610659415
1985,128,1,trust_media_pct,27.692379291789294
1985,128,1,union_membership_rate,10.530698538440125
1985,128,1,vep_turnout_pct,36.14229922187103
1985,129,1,trust_media_pct,27.71741957138239
1985,129,1,union_membership_rate,10.532769701308856
1985,129,1,vep_turnout_pct,36.191987910562936
1985,130,1,trust_media_pct,27.732667081903237
1985,130,1,union_membership_rate,10.537022213947985
1985,130,1,vep_turnout_pct,36.6095549800034
1985,131,1,trust_media_pct,27.757357044066936
