id,year,value,unit,source,vintage,indicator
house_polarization_dw,1934,0.5609999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1936,0.5980000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1938,0.7175,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1940,0.731,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1942,0.7175,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1944,0.712,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1946,0.9855,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1948,0.8905000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1950,0.5565,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1952,0.5455000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1954,0.573,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1956,0.5705,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1958,0.5680000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1960,0.5485,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1962,0.5775,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1964,0.5700000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1966,0.5835,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1968,0.5885,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1970,0.59,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1972,0.6679999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1974,0.5885,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1976,0.5855,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1978,0.6020000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1980,0.813,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1982,0.645,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1984,0.6639999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1986,0.6659999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1988,0.6639999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1990,0.8935,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1992,0.921,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1994,0.9285,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1996,0.934,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,1998,0.775,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2000,0.787,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2002,0.947,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2004,0.953,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2006,0.8049999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2008,0.7969999999999999,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2010,0.865,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2012,0.884,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2014,0.8865000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2016,0.89,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2018,0.8845000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2020,0.882,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2022,0.8885000000000001,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
house_polarization_dw,2024,0.915,DW-NOMINATE distance,Voteview DW-NOMINATE,2025-08-21,house_polarization_dw
